nid,name,address,state
1212192,Calvary Muswellbrook Retirement Community,MUSWELLBROOK NSW 2333,NSW
1235058,Residency by Dillons Tin Can Bay,TIN CAN BAY QLD 4580,QLD
1200262,Narembeen MPS,NAREMBEEN WA 6369,WA
1236650,Bupa Tamworth,NORTH TAMWORTH NSW 2340,NSW
1961294,Bolton Clarke Calare (PKA - Calare Residential Age,ORANGE NSW 2800,NSW
1209723,Old Timers,BRAITLING NT 0870,NT
1209439,Bupa Ballarat,DELACOMBE VIC 3356,VIC
1210738,Ocean Star Aged Care,BUNBURY WA 6230,WA
1980968,Mitchell House,MORWELL VIC 3840,VIC
1215979,Edenfield Family Care,PARAFIELD GARDENS SA 5107,SA
1235057,IRT Culburra Beach,CULBURRA BEACH NSW 2540,NSW
1205214,Aegis Stirling,YOKINE WA 6060,WA
1219440,Exmouth MPS,EXMOUTH WA 6707,WA
1209491,Aegis Amberley,SPEARWOOD WA 6163,WA
1201327,Windermere Aged Care Facility,SUMMER HILL NSW 2130,NSW
1192591,Monda Lodge Hostel,HEALESVILLE VIC 3777,VIC
1214374,Villa Maria Catholic Homes O'Neill Aged Care Resid,PRAHRAN VIC 3181,VIC
1198338,Bupa Eastwood,BAIRNSDALE VIC 3875,VIC
1203292,Wantirna Views Care Community,WANTIRNA VIC 3152,VIC
1202830,Southern Cross Care Daceyville Residential Aged Ca,DACEYVILLE NSW 2032,NSW
1613567,McLean Care Yallambee,MILLMERRAN QLD 4357,QLD
1212128,Uniting Irwin Hall Mayfield,MAYFIELD NSW 2304,NSW
1371178,Mallee - Karoonda MPS,KAROONDA SA 5307,SA
2284892,Cumberland View Aged Care - Whalley Drive,WHEELERS HILL VIC 3150,VIC
1210059,IRT Dalmeny,DALMENY NSW 2546,NSW
1199849,Alton Lodge,COORANBONG NSW 2265,NSW
1208160,Illawarra Diggers,CORRIMAL NSW 2518,NSW
1205457,Mercy Place Boronia,MONTROSE VIC 3765,VIC
1235053,Algester Lodge,ALGESTER QLD 4115,QLD
1193168,Jindalee Aged Care Residence,NARRABUNDAH ACT 2604,ACT
1195040,Jeremiah Donovan House,FORRESTFIELD WA 6058,WA
2020676,Twin Parks Aged Care Centre,RESERVOIR VIC 3073,VIC
1225160,Calvary Kelaston,WENDOUREE VIC 3355,VIC
1223238,St Ann's,HOBART TAS 7000,TAS
1217890,St Vincent's Care Services Toowoomba - Nursing Hom,TOOWOOMBA QLD 4350,QLD
1234746,SummitCare Waverley,WAVERLEY NSW 2024,NSW
1754052,Rangeview Private Nursing Home,WANGARATTA VIC 3677,VIC
2042621,Marco Polo Woonona Care Services,WOONONA NSW 2517,NSW
1192504,Southern Cross Care Reynolds Court Residential Age,BATEAU BAY NSW 2261,NSW
1209314,Bolton Clarke Talbarra,WATERFORD QLD 4133,QLD
1209052,Beresford Hall,ROSE BAY NSW 2023,NSW
1208404,St Vincent's Care Services Kangaroo Point - Marycr,KANGAROO POINT QLD 4169,QLD
1204677,Barridale Lodge,KINGSLEY WA 6026,WA
1211786,Lilliane Brady Village Hostel,COBAR NSW 2835,NSW
1195081,Eldercare Trowbridge House,PAYNEHAM SOUTH SA 5070,SA
1259541,Heritage Botany,BOTANY NSW 2019,NSW
1206193,Regis Kirwan,KIRWAN QLD 4817,QLD
1210668,Burrowa House,BOOROWA NSW 2586,NSW
1202677,Regis Maroochydore,MAROOCHYDORE QLD 4558,QLD
1451317,Winston Hillside Care Community,WINSTON HILLS NSW 2153,NSW
1234823,Catholic Healthcare St John's Villa,NEW LAMBTON NSW 2305,NSW
1194503,St Josephs Nursing Home,EAST LISMORE NSW 2480,NSW
1704368,James Milson Village Woolwich,WOOLWICH NSW 2110,NSW
1194632,Doutta Galla Grantham Green Aged Care Facility,ST ALBANS VIC 3021,VIC
1209002,Catholic Healthcare Percy Miles Villa,KIRRAWEE NSW 2232,NSW
1208088,Abel Tasman Village,CHESTER HILL NSW 2162,NSW
1207968,SummitCare Liverpool-173,LIVERPOOL NSW 2170,NSW
1206992,St Raphaels Home For The Aged,LOCKLEYS SA 5032,SA
1204705,Uniting Pacifica Nambucca Heads,NAMBUCCA HEADS NSW 2448,NSW
1231903,Burswood Care Annie Bryson McKeown Lodge,SPENCER PARK WA 6330,WA
1203084,Dr Mary Surveyor Centre,KINGSLEY WA 6026,WA
